지점명,위도,경도,주소,우편번호
노브랜드 울산성남점,35.5531324890167,129.320551982419,울산 중구 젊음의2거리 33 (성남동),44532
노브랜드 울산신천점,35.6324891,129.3481443,울산 북구 호계로 337-10 (신천동),44228
노브랜드 울산유곡점,35.56069661358449,129.29642742410738,울산 중구 종가3길 18 (유곡동),44539
노브랜드 원주단계점,37.352334258086,127.92786354562,강원 원주시 백간길 37-6,26409
노브랜드 원주무실점,37.333582,127.928924,강원 원주시 능라동길 34 (무실동),26392
노브랜드 원주반곡점,37.327032,127.986660,강원 원주시 황금로 8 (반곡동),26462
노브랜드 원주지정점,37.37433266997137,127.87539577658437,강원 원주시 지정면 신지정로 192 (가곡리),26353
노브랜드 위례창곡점,37.4715267,127.1410446,"경기 성남시 수정구 위례광장로 322 (창곡동, 아이플렉스)",13640
노브랜드 은평진관점,37.634799,126.919507,"서울 은평구 진관2로 19 (진관동, 휴먼프라자 I)",03306
노브랜드 의왕포일점,37.3976156431246,126.987425524173,"경기 의왕시 성고개로 53 (포일동, 에이스청계타워)",16006
노브랜드 의정부 호원점,37.72107415062775,127.04725279832282,경기 의정부시 평화로 325,11705
노브랜드 의정부녹양점,37.760951,127.0359002,경기 의정부시 체육로 250-34 (녹양동),11609
노브랜드 의정부민락점,37.740244,127.090945,경기 의정부시 용민로 124 (민락동),11808
노브랜드 의정부신곡점,37.75078524438002,127.07945636868719,경기 의정부시 추동로 236 (신곡동),11772
노브랜드 이천안흥점,37.2807787,127.45484,경기 이천시 영창로 290 (안흥동),17371
노브랜드 익산부송점,35.9599174506374,126.994600001954,전북특별자치도 익산시 무왕로 1242,54557
노브랜드 인천 마전2점,37.60223061122025,126.65890901603815,인천 서구 검단로 492,22635
노브랜드 인천 불로동점,37.61294555056771,126.68364136077973,인천 서구 검단로 747,22620
노브랜드 인천가정점,37.529395,126.664996,인천 서구 청중로478번안길 4 (가정동),22858
노브랜드 인천논현역점,37.3992954590302,126.72350065358778,"인천 남동구 앵고개로847번길 80-9 (논현동, 뉴가산시티)",21679
노브랜드 인천당하점,37.58812066100654,126.67534989063937,"인천 서구 서곶로 788 (당하동, 홀리랜드)",22677
노브랜드 인천마전점,37.597295,126.667983,"인천 서구 완정로64번길 4 (마전동, 영남탑스빌 상가)",22640
노브랜드 인천서창점,37.4230637,126.7494833,인천 남동구 서창남순환로10번길 50 (서창동),21610
노브랜드 인천송도점,37.39740246041723,126.64731725470834,"인천 연수구 신송로 165-14 (송도동, 더 파라곤)",22002
노브랜드 인천심곡점,37.544265817258555,126.67734160458663,인천 서구 서곶로 300,22714
노브랜드 인천원당점,37.59388522860511,126.69775819612852,"인천 서구 원당대로 865 (원당동, 대산프라자)",22647
노브랜드 인천원창점,37.51598636087641,126.6450451497396,인천 서구 중봉대로393번길 26 (원창동),22769
노브랜드 인천장승백이시장점,37.44697965240249,126.73560712311802,"인천 남동구 인주대로888번길 27 (만수동, 창대장터상가)",21591
노브랜드 인천청라점,37.534015,126.646210,"인천 서구 청라커낼로288번길 16 (경서동, 키움프라자 주차타워)",22762
노브랜드 인천청학점,37.41866059238969,126.66897948710177,"인천 연수구 청능대로23번길 11 (청학동, 연수1차하나아파트 상가동)",21915
노브랜드 일산주엽점,37.67530901296168,126.76241681653659,"경기 고양시 일산서구 대산로 140 (주엽동, 문촌마을3단지)",10375
노브랜드 일산킨텍스점,37.6615831401235,126.744065435785,"경기 고양시 일산서구 킨텍스로 171 (대화동, 일산 킨텍스 복합개발)",10390
노브랜드 전주삼천점,35.7983331417358,127.111972974985,전북특별자치도 전주시 완산구 용리로 20,55086
노브랜드 전주송천점,35.8662871312074,127.129209690545,전북특별자치도 전주시 덕진구 사근1길 20,54822
노브랜드 제주아라점,33.4835737602773,126.53825075315824,제주특별자치도 제주시 구산로 27,63236
